split,model,model_label,n,qini_score,auuc_score,transformed_outcome_mse,uplift_calibration_error,score_mean,score_std,score_min,score_max,negative_score_fraction,unique_score_count
validation,Response,Response propensity (ranking baseline),1397959,0.18092196463586574,0.005853456612625672,,,0.0029223122717131657,0.02651723778795342,0.0,1.0,0.0,168426
confirmation,Response,Response propensity (ranking baseline),1397959,0.18278866550080453,0.00591164354643735,,,0.0029483148933284226,0.02693127032139166,0.0,1.0,0.0,168071
validation,X-Renormalized,X-Learner / k (stratified renormalization),1397959,0.17388162072382948,0.0056216021567777035,0.01652593719966824,0.0004033619864198472,0.0005992561301609888,0.00204269880619214,-0.007798295846342179,0.026517354194112552,0.21788192643704143,397286
confirmation,X-Renormalized,X-Learner / k (stratified renormalization),1397959,0.1915572443409432,0.006188718461356062,0.01652215582653292,0.0004621377499183509,0.0005999693160983499,0.0020500551630234,-0.0078861159570983,0.026255911212706654,0.21838623307264377,396921
validation,X-Calibrated,X-Learner / k + validation tau-isotonic,1397959,0.17790348986439986,0.005745755763742266,0.01650984978760592,0.0002576867550460443,0.0011532197189869497,0.005574155825097448,-0.01160719234519502,0.14705880125275034,0.0018527009733475732,28
confirmation,X-Calibrated,X-Learner / k + validation tau-isotonic,1397959,0.18852810574271328,0.006084245406058902,0.01650756651676192,0.00023996622997387074,0.0011611095651947066,0.005626693517776602,-0.01160719234519502,0.14705880125275034,0.0017797374601114912,52
validation,T-LocalExact,T-Learner exact local-neighborhood restoration,1397959,0.0979797288980041,0.00316558348538335,0.016582513930271613,0.0010198792221987882,0.0009544294713274677,0.009794759131136333,-0.44820409230628927,0.6057808535672167,0.1558235971155091,419955
confirmation,T-LocalExact,T-Learner exact local-neighborhood restoration,1397959,0.11766825079312723,0.0037982426903166904,0.01653985841045221,0.00095728979631373,0.0009672457375945938,0.00993085383025682,-0.4338338454100337,0.5491666223030349,0.15603247305536141,419444
