model_a,model_b,metric,n_boot,observed_difference,ci_low,ci_high,score_a_ci_low,score_a_ci_high,score_b_ci_low,score_b_ci_high,probability_difference_positive,n_valid_bootstrap
T-LocalExact,X-Renormalized,normalized_qini,500,-0.07388897874065353,-0.10738105382426899,-0.035891435469548344,0.0756998043052337,0.1604091725152985,0.14248322862338364,0.23649121733682427,0.0,500
X-Calibrated,X-Renormalized,normalized_qini,500,-0.0030291391406104817,-0.010774466461137087,0.004699981655605225,0.14171224449394584,0.23329457786412924,0.14248322862338364,0.23649121733682427,0.222,500
X-Renormalized,Response,normalized_qini,500,0.008768221102264384,-0.01862598746968142,0.038772486177971154,0.14248322862338364,0.23649121733682427,0.14034582770885973,0.22984634433679282,0.732,500
Response,X-Calibrated,normalized_qini,500,-0.005739081961653902,-0.029615687889075103,0.01868405279481584,0.14034582770885973,0.22984634433679282,0.14171224449394584,0.23329457786412924,0.308,500
