run_id,policy,budget_fraction,contact_cost_assumption,value_per_conversion_assumption,target_fraction,gross_incremental_conversions_per_customer_ipw,gross_incremental_conversions_per_customer_dr,net_scenario_value_per_customer_ipw,net_scenario_value_per_customer_dr,is_monetary_observation,interpretation
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.01,0.001,1.0,0.009999577956148928,0.0004886667402160371,0.00042961412835906956,0.0004786671622598882,0.0004196145504029206,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.01,0.001,1.0,0.009999577956148928,0.0005837635196657711,0.00046411177071254816,0.0005737639417096222,0.0004541121927563992,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.05,0.0,1.0,0.049999320437866916,8.555881150038686e-05,7.169205145056277e-05,8.555881150038686e-05,7.169205145056277e-05,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.05,0.0,1.0,0.049999320437866916,0.0010062273369592777,0.0008350855179064105,0.0010062273369592777,0.0008350855179064105,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.05,0.0,1.0,0.049999320437866916,0.0009447932896524286,0.000770654514762907,0.0009447932896524286,0.000770654514762907,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.05,0.0,1.0,0.049999320437866916,0.0009520868539249784,0.0007731825152609,0.0009520868539249784,0.0007731825152609,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.05,0.0,1.0,0.049999320437866916,0.0007879822068115072,0.0006485409225878932,0.0007879822068115072,0.0006485409225878932,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.05,0.0,1.0,0.049999320437866916,0.0009520868539249784,0.0007731825152609,0.0009520868539249784,0.0007731825152609,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.05,0.00025,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.05,0.00025,1.0,0.049999320437866916,8.555881150038686e-05,7.169205145056277e-05,7.305898139092014e-05,5.919222134109604e-05,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.05,0.00025,1.0,0.049999320437866916,0.0010062273369592777,0.0008350855179064105,0.000993727506849811,0.0008225856877969438,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.05,0.00025,1.0,0.049999320437866916,0.0009447932896524286,0.000770654514762907,0.0009322934595429619,0.0007581546846534402,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.05,0.00025,1.0,0.049999320437866916,0.0009520868539249784,0.0007731825152609,0.0009395870238155116,0.0007606826851514332,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.05,0.00025,1.0,0.049999320437866916,0.0007879822068115072,0.0006485409225878932,0.0007754823767020404,0.0006360410924784265,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.05,0.00025,1.0,0.049999320437866916,0.0009520868539249784,0.0007731825152609,0.0009395870238155116,0.0007606826851514332,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.05,0.0005,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.05,0.0005,1.0,0.049999320437866916,8.555881150038686e-05,7.169205145056277e-05,6.05591512814534e-05,4.669239123162931e-05,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.05,0.0005,1.0,0.049999320437866916,0.0010062273369592777,0.0008350855179064105,0.0009812276767403442,0.000810085857687477,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.05,0.0005,1.0,0.049999320437866916,0.0009447932896524286,0.000770654514762907,0.0009197936294334951,0.0007456548545439735,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.05,0.0005,1.0,0.049999320437866916,0.0009520868539249784,0.0007731825152609,0.0009270871937060449,0.0007481828550419665,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.05,0.0005,1.0,0.049999320437866916,0.0007879822068115072,0.0006485409225878932,0.0007629825465925737,0.0006235412623689597,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.05,0.0005,1.0,0.049999320437866916,0.0009520868539249784,0.0007731825152609,0.0009270871937060449,0.0007481828550419665,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.05,0.001,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.05,0.001,1.0,0.049999320437866916,8.555881150038686e-05,7.169205145056277e-05,3.555949106251995e-05,2.1692731012695853e-05,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.05,0.001,1.0,0.049999320437866916,0.0010062273369592777,0.0008350855179064105,0.0009562280165214108,0.0007850861974685436,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.05,0.001,1.0,0.049999320437866916,0.0009447932896524286,0.000770654514762907,0.0008947939692145618,0.0007206551943250401,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.05,0.001,1.0,0.049999320437866916,0.0009520868539249784,0.0007731825152609,0.0009020875334871115,0.0007231831948230331,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.05,0.001,1.0,0.049999320437866916,0.0007879822068115072,0.0006485409225878932,0.0007379828863736403,0.0005985416021500263,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.05,0.001,1.0,0.049999320437866916,0.0009520868539249784,0.0007731825152609,0.0009020875334871115,0.0007231831948230331,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.1,0.0,1.0,0.09999935620429498,0.00011136664367370771,9.044925258960417e-05,0.00011136664367370771,9.044925258960417e-05,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.1,0.0,1.0,0.09999935620429498,0.0010314739779142392,0.0008488799605969188,0.0010314739779142392,0.0008488799605969188,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.1,0.0,1.0,0.09999935620429498,0.0010603677044106524,0.0008745282477263288,0.0010603677044106524,0.0008745282477263288,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.1,0.0,1.0,0.09999935620429498,0.0010637339559531427,0.0008761467989324815,0.0010637339559531427,0.0008761467989324815,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.1,0.0,1.0,0.09999935620429498,0.0008718578491970524,0.0007206676788665464,0.0008718578491970524,0.0007206676788665464,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.1,0.0,1.0,0.09999935620429498,0.0010637339559531427,0.0008761467989324815,0.0010637339559531427,0.0008761467989324815,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.1,0.00025,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.1,0.00025,1.0,0.09999935620429498,0.00011136664367370771,9.044925258960417e-05,8.636680462263396e-05,6.544941353853042e-05,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.1,0.00025,1.0,0.09999935620429498,0.0010314739779142392,0.0008488799605969188,0.0010064741388631654,0.000823880121545845,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.1,0.00025,1.0,0.09999935620429498,0.0010603677044106524,0.0008745282477263288,0.0010353678653595786,0.000849528408675255,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.1,0.00025,1.0,0.09999935620429498,0.0010637339559531427,0.0008761467989324815,0.001038734116902069,0.0008511469598814078,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.1,0.00025,1.0,0.09999935620429498,0.0008718578491970524,0.0007206676788665464,0.0008468580101459786,0.0006956678398154727,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.1,0.00025,1.0,0.09999935620429498,0.0010637339559531427,0.0008761467989324815,0.001038734116902069,0.0008511469598814078,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.1,0.0005,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.1,0.0005,1.0,0.09999935620429498,0.00011136664367370771,9.044925258960417e-05,6.136696557156022e-05,4.0449574487456675e-05,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.1,0.0005,1.0,0.09999935620429498,0.0010314739779142392,0.0008488799605969188,0.0009814742998120916,0.0007988802824947714,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.1,0.0005,1.0,0.09999935620429498,0.0010603677044106524,0.0008745282477263288,0.0010103680263085048,0.0008245285696241813,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.1,0.0005,1.0,0.09999935620429498,0.0010637339559531427,0.0008761467989324815,0.0010137342778509951,0.0008261471208303341,False,conversion-equivalent assumption scenario
