budget_fraction,random_value_mean,random_value_min,random_value_max,expected_random_value
0.01,8.145659429457883e-06,-4.625079195220378e-07,1.5875298052679708e-05,9.788353726894597e-06
0.02,1.905458068115444e-05,6.8336925629106386e-06,2.8248894448164435e-05,1.9576707453789195e-05
0.05,4.989156225404776e-05,2.848733901230107e-05,8.759470431197846e-05,4.894176863447299e-05
0.1,9.967113693673249e-05,7.261273762404094e-05,0.00014577816569673305,9.788353726894598e-05
0.15,0.0001498095299680288,0.00010749646813934812,0.00020511514416784055,0.00014682530590341895
0.2,0.00019465071295994964,0.0001432732212269029,0.00023488886713128544,0.00019576707453789196
0.25,0.0002423424304554949,0.00020184703193395137,0.0002700933569701828,0.00024470884317236494
0.3,0.0002901058385952736,0.00023672908871766158,0.00032711737575864526,0.0002936506118068379
