column,rate_treatment,rate_control,smd_by_treatment,outcome_rate_when_positive,outcome_rate_when_zero,only_defined_under_treatment,necessary_for_outcome
visit,0.048543360048743316,0.03820095691954503,0.0507907210125624,0.06206759025709019,0.0,False,True
exposure,0.036036727482199896,0.0,0.27343708063796407,0.053784106937685074,0.0013093131474432862,True,False
