fold_seed,model,reference,is_causal_candidate,budget_fraction,observed_difference,pointwise_ci_low,pointwise_ci_high,simultaneous_ci_low,simultaneous_ci_high,standard_error,critical_value,family_size,n_boot,inference_scope
101,Response-Sentinel,Response,False,0.01,-1.782158833179881e-05,-8.166830996749158e-05,4.1973241312672663e-05,-0.00011120461759305076,7.556144092945314e-05,3.0009122415122893e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
101,Response-Sentinel,Response,False,0.02,-9.312621475486994e-06,-6.622082130056262e-05,4.483181575718667e-05,-9.234423247218318e-05,7.37189895212092e-05,2.6682640287389138e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
101,Anchored-R25,Response,True,0.01,2.9384447524002206e-05,-5.069910447908839e-05,0.00010723612646171781,-9.490763843363523e-05,0.00015367653348163964,3.994190863415682e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
101,Anchored-R25,Response,True,0.02,3.740807984058071e-05,-4.219021160311464e-05,0.00010847931882804281,-8.468390860741728e-05,0.0001595000682885787,3.923489585020367e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
101,Anchored-R25-Sentinel,Response,True,0.01,1.5760015753815758e-05,-6.482374871312112e-05,8.500826427232819e-05,-0.00010188629043284717,0.0001334063219404787,3.780625272034858e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
101,Anchored-R25-Sentinel,Response,True,0.02,4.79010543995795e-05,-3.2183364153037904e-05,0.00013679533734767344,-7.954799955768493e-05,0.00017535010835684393,4.095641672958806e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
101,Anchored-Pattern-R,Response,True,0.01,4.085503745181933e-05,-2.6643455599272114e-05,0.00011042647223165966,-7.095594397122432e-05,0.00015266601887486297,3.593104074073346e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
101,Anchored-Pattern-R,Response,True,0.02,3.5324176494314487e-05,-2.2451945309454736e-05,9.179236366602169e-05,-6.083253084996998e-05,0.00013148088383859894,3.090045830122917e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
101,DINA-CATE-Sentinel,Response,True,0.01,3.329758471259085e-05,-9.486030300237266e-05,0.0001732337814464336,-0.00017909945418796615,0.00024569462361314785,6.825489375745897e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
101,DINA-CATE-Sentinel,Response,True,0.02,4.01788840034994e-05,-9.864594461405477e-05,0.00015312480544448813,-0.0001698255160960256,0.0002501832841030244,6.748600682753867e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
202,Response-Sentinel,Response,False,0.01,-2.8599946865029717e-05,-8.224748628921768e-05,2.0271243758200503e-05,-0.00011408024028057918,5.688034655051975e-05,2.746953712554534e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
202,Response-Sentinel,Response,False,0.02,2.12166700778695e-05,-2.2231883845011672e-05,5.8054012715412616e-05,-4.464587304078957e-05,8.707921319652857e-05,2.1165270977552908e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
202,Anchored-R25,Response,True,0.01,1.964322870920724e-06,-7.445727804830723e-05,7.083334961510351e-05,-0.0001201755346670918,0.00012410418040893325,3.9250278831388905e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
202,Anchored-R25,Response,True,0.02,3.6163018053254176e-05,-4.925970244920493e-05,0.0001166389874917451,-9.54676804878526e-05,0.00016779371659436096,4.230020997773802e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
202,Anchored-R25-Sentinel,Response,True,0.01,2.3746246148618414e-05,-5.3501151833270215e-05,9.749571487526094e-05,-9.42067930970635e-05,0.00014169928539430033,3.790482298509244e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
202,Anchored-R25-Sentinel,Response,True,0.02,8.165739001725271e-05,-4.425235203014469e-06,0.00016250514965296205,-5.268546418262272e-05,0.00021600024421712815,4.317177531264656e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
202,Anchored-Pattern-R,Response,True,0.01,4.327200907520469e-05,-2.306480355253909e-05,9.8454002720116e-05,-5.564367296955317e-05,0.00014218769111996253,3.1787069178834176e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
202,Anchored-Pattern-R,Response,True,0.02,3.615097679226403e-05,-3.422753023892908e-05,0.00010977318474972365,-7.866245885882056e-05,0.0001509644124433486,3.689589503158125e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
202,DINA-CATE-Sentinel,Response,True,0.01,3.97376980085555e-05,-9.731964111049071e-05,0.00016840511945337457,-0.00015168938482888587,0.00023116478084599687,6.151608924965852e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
202,DINA-CATE-Sentinel,Response,True,0.02,5.517900331995372e-05,-7.952239169156025e-05,0.00017608095154585758,-0.00015333106710209549,0.00026368907374200296,6.700579620924242e-05,3.111821397822424,20,200,conditional_on_fixed_oof_scores
