model,policy_area_dr_mean,policy_area_dr_min,autoc_dr_mean,qini_mean,n_seeds
Response,0.0008704103613618726,0.0008704103613618726,0.0033737232447019865,0.18496099367956761,1
Response-Sentinel,0.0008683353612651192,0.0008683353612651192,0.00338319909365826,0.18479006100442874,1
