model,policy_area_dr,policy_area_dr_adjusted,autoc_dr,autoc_dr_adjusted,rate_qini_dr,qini_score,auuc_score,is_cate_scale,fold_seed,pool_fraction,n_rows
Response,0.0008704103613618726,0.0007569213294377097,0.0033737232447019865,0.0029246654641278823,0.0004459323357184072,0.18496099367956761,0.005985285880183182,False,202,1.0,5591836
Response-Sentinel,0.0008683353612651192,0.0007547978018099871,0.00338319909365826,0.0029323446521675616,0.0004459585592410044,0.18479006100442874,0.005979317599833087,False,202,1.0,5591836
