candidate,family,hypothesis,screen_seed101_delta,screen_seed202_delta,screen_mean_delta,screen_min_delta,screen_stability,screen_low_budget_wins,screen_low_budget_comparisons,full_seed101_delta,full_seed202_delta,full_stability,final_decision
Response-Sentinel,response,Sole advancing challenger from data-optimization-v1.,2.0519639135999643e-06,3.0348566714999718e-06,2.543410292549968e-06,2.0519639135999643e-06,beats_reference_on_every_fold_seed,1,4,1.2129707349000166e-06,-2.075000041300008e-06,fold_seed_instability,retain_response
Anchored-R25,anchored_r_learner,Preserve prognostic ranking and learn only a strongly shrunk orthogonal treatment residual.,-4.301095145390005e-05,-8.101454429399976e-06,-2.5556202941650014e-05,-4.301095145390005e-05,systematic_policy_area_regression,4,4,,,not_advanced,retain_response
Anchored-R25-Sentinel,anchored_r_learner,Expose structural point masses only to the residual learner while retaining the risk anchor.,-3.6348471518499984e-05,-1.133025003820004e-05,-2.383936077835001e-05,-3.6348471518499984e-05,systematic_policy_area_regression,4,4,,,not_advanced,retain_response
Anchored-Pattern-R,anchored_pattern_r_learner,Partial-pool the causal residual across the 53 observed sentinel structures.,-1.4800246512800008e-05,8.986558801700006e-06,-2.9068438555500007e-06,-1.4800246512800008e-05,fold_seed_instability,4,4,,,not_advanced,retain_response
DINA-CATE-Sentinel,binary_dina_learner,"Estimate heterogeneous log odds ratio with orthogonal Bernoulli likelihood, then map it back to absolute CATE.",1.0798517599599914e-05,-2.0334530910500023e-05,-4.768006655450055e-06,-2.0334530910500023e-05,fold_seed_instability,4,4,,,not_advanced,retain_response
