budget_fraction,random_value_mean,random_value_min,random_value_max,expected_random_value
0.01,3.218581825789574e-05,-0.00010804056311126247,9.518907597154825e-05,9.559677559070625e-06
0.02,4.840339928813128e-05,-7.99528403951086e-05,0.00011661860660153547,1.911935511814125e-05
0.05,9.33740381591602e-05,-0.00016548664230539413,0.00023036979740856124,4.779838779535313e-05
0.1,0.0001483458368697695,-0.00026764109904145575,0.00034045840564726087,9.559677559070625e-05
0.15,0.00018848281764180218,-2.5136642123157246e-05,0.00037663088422452387,0.00014339516338605937
0.2,0.0002088569950895891,-0.00011744015466556882,0.00046472874874237515,0.0001911935511814125
0.25,0.00029061043734575126,-0.00010782564724732895,0.0006116604076090819,0.00023899193897676562
0.3,0.00033586416055558153,-4.1167689737277066e-05,0.0005833042286685483,0.00028679032677211873
