run_id,created_utc,status,commit_sha,working_tree_dirty,working_tree_diff_sha256,data_sha256,development_index_sha256,eval_index_sha256,n_rows,n_treated,n_control,n_conversion_treated,n_conversion_control,python_version,numpy_version,pandas_version,sklearn_version,lightgbm_version,econml_version,outcome,candidate,candidate_family,config_hash,config_json,fold_seed,n_folds,pool_fraction,fit_seconds,predict_seconds,peak_process_rss_gb,min_system_available_ram_gb,max_system_memory_percent,policy_area_dr,policy_area_dr_adjusted,autoc_dr,autoc_dr_adjusted,rate_qini_dr,qini_score,auuc_score,uplift_calibration_error,doubly_robust_risk,score_mean,score_std,negative_score_fraction,unique_score_count
causal-foundation-v1-screen-Response,2026-08-09T10:45:41.103472+00:00,screen,336d7770de8534b785eec89c980536d9ba06996a,True,ee518d90db8c649b3dc27776ed402b06006b532009b3cbb018e9fdad2db94646,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,838776,712960,125816,2203,244,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Response,response,2493f3f82d2d833e,"{""builder"": ""response"", ""family"": ""response"", ""is_cate_scale"": false, ""name"": ""Response"", ""params"": {}}",101,3,0.15,12.49849839998933,4.250551999997697,0.4346466064453125,3.5751876831054688,76.5,0.0008567794317185649,0.0007647953307650224,0.0030931263234996184,0.00276179257310598,0.00044297931667145406,0.1829811402640043,0.0059201992528162516,,,0.002884959910163746,0.021674054989133724,0.0,256332
causal-foundation-v1-screen-Response-Sentinel,2026-08-09T10:45:59.542204+00:00,screen,336d7770de8534b785eec89c980536d9ba06996a,True,ee518d90db8c649b3dc27776ed402b06006b532009b3cbb018e9fdad2db94646,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,838776,712960,125816,2203,244,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Response-Sentinel,response,0ccda20f93617af8,"{""builder"": ""response"", ""family"": ""response"", ""is_cate_scale"": false, ""name"": ""Response-Sentinel"", ""params"": {""feature_augmentation"": ""sentinel_flags"", ""sentinel_min_mode_share"": 0.05}}",101,3,0.15,14.947865899986937,4.483161899988772,0.5186233520507812,3.298473358154297,78.3,0.0008588313956321675,0.0007670898384827149,0.0031179993173180063,0.002788814928502639,0.0004439156757064293,0.18336601096836835,0.005932706067521983,,,0.0028875096961457555,0.021697210852564673,0.0,257752
causal-foundation-v1-screen-Anchored-R25,2026-08-09T10:46:20.759488+00:00,screen,336d7770de8534b785eec89c980536d9ba06996a,True,ee518d90db8c649b3dc27776ed402b06006b532009b3cbb018e9fdad2db94646,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,838776,712960,125816,2203,244,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Anchored-R25,anchored_r_learner,de9aa41664ebd502,"{""builder"": ""anchored_r_learner"", ""family"": ""anchored_r_learner"", ""is_cate_scale"": true, ""name"": ""Anchored-R25"", ""params"": {""final_params"": {""learning_rate"": 0.04, ""min_child_samples"": 5000, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 20.0}, ""inner_cv"": 2, ""nuisance_params"": {""min_child_samples"": 250, ""n_estimators"": 200, ""num_leaves"": 31}, ""residual_shrinkage"": 0.25}}",101,3,0.15,21.255965899996227,2.9274434999970254,0.5186233520507812,3.298473358154297,78.3,0.0008137684802646668,0.0007133503201524477,0.0029250950528605926,0.002526955130622741,0.0003753185616806935,0.15327617236120797,0.004962075947483757,0.0004216966690933679,0.01457367615864837,0.0005461865113446892,0.0035776800323271086,0.14391565805411696,237995
causal-foundation-v1-screen-Anchored-R25-Sentinel,2026-08-09T10:46:46.883572+00:00,screen,336d7770de8534b785eec89c980536d9ba06996a,True,ee518d90db8c649b3dc27776ed402b06006b532009b3cbb018e9fdad2db94646,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,838776,712960,125816,2203,244,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Anchored-R25-Sentinel,anchored_r_learner,0b73751df7c0c285,"{""builder"": ""anchored_r_learner"", ""family"": ""anchored_r_learner"", ""is_cate_scale"": true, ""name"": ""Anchored-R25-Sentinel"", ""params"": {""feature_augmentation"": ""sentinel_flags"", ""final_params"": {""learning_rate"": 0.04, ""min_child_samples"": 5000, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 20.0}, ""inner_cv"": 2, ""nuisance_params"": {""min_child_samples"": 250, ""n_estimators"": 200, ""num_leaves"": 31}, ""residual_shrinkage"": 0.25, ""sentinel_min_mode_share"": 0.05}}",101,3,0.15,22.394692900008522,3.227476200016099,0.5398597717285156,3.298473358154297,78.3,0.000820430960200022,0.0007204417684138064,0.0029759566730287847,0.0025817985802520805,0.0004021940632778053,0.16466458646479762,0.0053332830745438774,0.00044104442306881314,0.014573781559991113,0.0005462652614270287,0.003599569710041635,0.1274774194779059,237824
causal-foundation-v1-screen-Anchored-Pattern-R,2026-08-09T10:47:14.417775+00:00,screen,336d7770de8534b785eec89c980536d9ba06996a,True,ee518d90db8c649b3dc27776ed402b06006b532009b3cbb018e9fdad2db94646,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,838776,712960,125816,2203,244,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Anchored-Pattern-R,anchored_pattern_r_learner,36aac092fdf64835,"{""builder"": ""anchored_pattern_r_learner"", ""family"": ""anchored_pattern_r_learner"", ""is_cate_scale"": true, ""name"": ""Anchored-Pattern-R"", ""params"": {""inner_cv"": 2, ""nuisance_params"": {""min_child_samples"": 250, ""n_estimators"": 200, ""num_leaves"": 31}, ""pattern_prior_weight"": 1000.0, ""sentinel_min_mode_share"": 0.05}}",101,3,0.15,16.98004020001099,1.753757999977097,0.5398597717285156,3.298473358154297,78.3,0.0008419791852057291,0.0007502130347310281,0.0030634556296675565,0.002713525209244252,0.0004301142024111847,0.17834845697853316,0.00576838589226232,0.0005127781827875329,0.014574052180050256,0.0005614082360870944,0.003428208288399144,0.3838509923984473,212298
causal-foundation-v1-screen-DINA-CATE-Sentinel,2026-08-09T10:47:35.043326+00:00,screen,336d7770de8534b785eec89c980536d9ba06996a,True,ee518d90db8c649b3dc27776ed402b06006b532009b3cbb018e9fdad2db94646,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,838776,712960,125816,2203,244,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,DINA-CATE-Sentinel,binary_dina_learner,88763cb8b9238a95,"{""builder"": ""binary_dina_learner"", ""family"": ""binary_dina_learner"", ""is_cate_scale"": true, ""name"": ""DINA-CATE-Sentinel"", ""params"": {""effect_clip"": 3.0, ""feature_augmentation"": ""sentinel_flags"", ""final_params"": {""learning_rate"": 0.04, ""min_child_samples"": 5000, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_lambda"": 20.0}, ""inner_cv"": 2, ""nuisance_params"": {""min_child_samples"": 250, ""n_estimators"": 200, ""num_leaves"": 31}, ""probability_clip"": 1e-05, ""sentinel_min_mode_share"": 0.05}}",101,3,0.15,45.648690500005614,3.729098400013754,0.6203117370605469,3.298473358154297,78.3,0.0008675779493181482,0.0007664880575434954,0.003161567943716675,0.0027719150733505737,0.00042130223150155385,0.1771152954679412,0.0057341708119488044,0.0005821889359810342,0.014614104667122159,0.0010131630027977979,0.008947661242911166,0.3134615201197936,216697
