model_a,model_b,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,qini_difference,qini_ci_low,qini_ci_high,n_boot
Causal Forest,Response,4.959173382597035e-07,-5.9533266607848165e-05,5.846239732715336e-05,0.504,-0.013208286480253573,-0.036988516316185854,0.010740291972353945,500
Causal Forest,S-Learner,6.754115361502127e-06,-2.0811440184603158e-05,3.6219316755714574e-05,0.668,-0.002526151095694845,-0.014981466189316962,0.009667135550531173,500
Causal Forest,T-Learner,0.00010883124714248344,4.02772918073703e-05,0.0001789916719442073,1.0,0.03265694716998374,0.004076755719246763,0.062049421788966795,500
Causal Forest,X-Learner,3.092177594842861e-05,1.2959360107049183e-05,5.341289226180993e-05,1.0,0.007509543799966045,-0.0004614110110770744,0.014838018688172645,500
Causal Forest,DR-Learner,8.100707122588892e-05,1.598114042927438e-05,0.0001465825122414968,0.998,0.02071064800330144,-0.00640656830153661,0.04721739955859465,500
