model_a,model_b,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,qini_difference,qini_ci_low,qini_ci_high,n_boot
Causal Forest,Response,1.1977188204124632e-06,-1.5164600519290103e-05,1.9705507143429504e-05,0.558,-0.003003215772399842,-0.007799882144399777,0.0021106562335649628,500
Causal Forest,X-Renormalized,2.375288459735374e-05,-2.419117355847388e-05,7.289951067064657e-05,0.814,-0.011825566140522104,-0.03351296697528259,0.010065996498695991,500
Causal Forest,S-Under7,1.798028184226059e-05,-4.6240531196698096e-05,8.108854990974134e-05,0.704,-0.015917529598479585,-0.04277645401997804,0.01205192715913553,500
Causal Forest,Rank-K05,6.50943721860717e-05,2.263867670360193e-05,0.00010717624049278502,1.0,0.0035322265612548753,-0.003915851620201632,0.011663976948218255,500
Causal Forest,Rank-K1,6.165561272622141e-05,2.3392947698035708e-05,9.80337684449039e-05,1.0,0.004329618101877902,-0.0028123502864548415,0.01263804188629777,500
Causal Forest,Rank-K2,5.1611476730473475e-05,2.5151288301998757e-05,8.175107575641713e-05,1.0,0.004992882833373374,-0.0014133994398215644,0.011897738694095815,500
Causal Forest,Ensemble-BestSingle,2.375288459735374e-05,-2.419117355847388e-05,7.289951067064657e-05,0.814,-0.011825566140522104,-0.03351296697528259,0.010065996498695991,500
Causal Forest,Ensemble-QAgg,2.323362331742339e-06,-4.840708307905882e-05,5.3440054042592955e-05,0.536,-0.019858535245113856,-0.04289271516246116,0.004018082016648235,500
Causal Forest,Ensemble-RankAverage,5.849271132589841e-06,-4.316127453347704e-05,5.521687157901523e-05,0.58,-0.00503581472620937,-0.012725642465502432,0.00333159223321496,500
