stage,model_a,model_b,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,autoc_difference,autoc_ci_low,autoc_ci_high,autoc_probability_positive,n_boot
screen,Response-Sentinel,Response,3.0348566714583384e-06,-1.1809494185311206e-05,8.679074262505245e-06,0.7333333333333333,8.54376280579527e-06,-4.5794021745037766e-05,7.035218683961772e-05,0.5333333333333333,30
screen,S-Under7,Response,-7.359094468626357e-05,-0.00017229534826151535,1.7892161978210685e-05,0.06666666666666667,-0.0005406222684335663,-0.0011755500553124567,9.39629671456551e-05,0.03333333333333333,30
screen,S-Sentinel-Under7,Response,-9.274187825503231e-05,-0.00018391866098598893,-1.4136825491039631e-05,0.03333333333333333,-0.0005138169131642498,-0.0011500490698438182,0.0001804964586741329,0.06666666666666667,30
screen,X-Renormalized,Response,-3.6042456074496655e-05,-0.00010506379489135023,4.4201136049223435e-06,0.06666666666666667,-0.00023890314069043928,-0.0006755305772475774,0.00015306096831229978,0.13333333333333333,30
screen,Funnel-S,Response,-7.042984151168184e-05,-0.00015189103292392078,4.259958870177235e-06,0.03333333333333333,-0.00020548567711909478,-0.0007094461122144605,0.00028840533634912313,0.23333333333333334,30
screen,Funnel-S-Sentinel,Response,-6.302030348173334e-05,-0.00012805083772089688,1.7401145551507473e-05,0.06666666666666667,-0.00022102188283635834,-0.0006707893442053263,0.0003272786645034232,0.13333333333333333,30
screen,Response,X-Renormalized,3.6042456074496655e-05,-4.420113604922354e-06,0.00010506379489135022,0.9333333333333333,0.00023890314069043928,-0.00015306096831230003,0.0006755305772475772,0.8666666666666667,30
screen,Response-Sentinel,X-Renormalized,3.9077312745954993e-05,-2.253567493183665e-06,0.00010577346073351238,0.9666666666666667,0.00024744690349623455,-0.0001423119339066949,0.0006762729190124943,0.8333333333333334,30
screen,S-Under7,X-Renormalized,-3.754848861176692e-05,-0.0001299698388764717,2.9064233174316256e-05,0.06666666666666667,-0.00030171912774312705,-0.0007060057224583516,9.558428231771784e-05,0.06666666666666667,30
screen,S-Sentinel-Under7,X-Renormalized,-5.6699422180535655e-05,-0.00014095842007624568,1.4419614223036899e-05,0.03333333333333333,-0.0002749137724738105,-0.0006973293761216756,0.00015453613542001696,0.1,30
screen,Funnel-S,X-Renormalized,-3.438738543718519e-05,-0.00011345783428169358,4.922744575372916e-05,0.26666666666666666,3.34174635713445e-05,-0.00029240442042443774,0.0003585457967621364,0.7,30
screen,Funnel-S-Sentinel,X-Renormalized,-2.697784740723669e-05,-9.567177203770926e-05,2.795109872987499e-05,0.23333333333333334,1.7881257854080942e-05,-0.00031864549580557655,0.0003688843503276882,0.6333333333333333,30
