model,score_mean,score_std,score_min,score_max,negative_score_fraction,near_zero_fraction_abs_lt_1e_4,full_holdout_uplift_rate,full_holdout_incremental_estimate
Response,0.0028588168707672653,0.026244072487699863,0.0,1.0,0.0,0.43300618997205453,0.0011503223090527615,2412.156862745098
S-Learner,0.0008630887911422806,0.005098194680557646,-0.05763631970285357,0.2210648150172423,0.003798391942544851,0.45641935391570576,0.0011503223090527615,2412.156862745098
T-Learner,0.0009939135693463482,0.010351214421326327,-0.6229829341852101,0.8213469779745166,0.5395609793317883,0.633776359838622,0.0011503223090527615,2412.156862745098
X-Learner,0.0006159737745441762,0.0023083735042779214,-0.004829555597245073,0.03057638338643352,0.24152193195799593,0.48402720154129353,0.0011503223090527615,2412.156862745098
DR-Learner,0.0009710899772719605,0.01194939141949761,-1.4814644072174334,1.5553279801722846,0.006528083779221151,0.6528884946636527,0.0011503223090527615,2412.156862745098
