Response,S-Learner,T-Learner,X-Learner,DR-Learner
0.17494287742086004,0.1324673471485191,0.1349123127232676,0.11952438686276216,0.12997660968877742
0.2186034942391742,0.20816597138553888,0.1670437972474335,0.19702935676458538,0.18292201586991044
0.2198674111192159,0.2009148458898854,0.17964167097425043,0.188218341643179,0.1947506256672541
0.18501840878881792,0.17903474822111146,0.12754807686030978,0.16195929500571019,0.138415877227085
0.16051841390989796,0.15210642931164173,0.12090611248880691,0.14838619943844966,0.14764988689663763
0.1687901398700352,0.17250560271816257,0.10675379495463817,0.16622205337542598,0.12393057257810572
0.1712440220989169,0.15650871285559176,0.1501736801619714,0.14877120807936972,0.1524787116621425
0.20041180849092233,0.185074334857875,0.1448712153295333,0.17057581156631302,0.15651387463549984
0.19826354948968383,0.1821656498963334,0.1686118640205067,0.16689466378021633,0.17300827859015333
0.18172052339230363,0.17066580910657866,0.11619729933718077,0.16079940118148833,0.14288671901812489
0.2024498774825653,0.21238221009852679,0.17256921627056107,0.1930794109604083,0.17697731426616106
0.18458263988619944,0.1768201798005826,0.15865149012840277,0.16654888517420036,0.16786742225599602
0.1882187565004888,0.19718661288764405,0.130789744930079,0.18582921883958364,0.14894654058352388
0.21027150609873535,0.21003071585880426,0.15434164134222414,0.19807612404847857,0.15685033401816736
0.18718366012736665,0.17503170919333066,0.13929773936851275,0.17210089914083898,0.14442901956563758
0.1933040066501422,0.1733939260157966,0.1637194191038191,0.16112801187419887,0.14549362519202302
0.16767595918438427,0.1613796042104951,0.12374482912302785,0.15524302593624617,0.11094256546453546
0.19917438947463917,0.17757427191608438,0.1429917373774945,0.17038151034917146,0.14278423900066375
0.19629103073723023,0.17322734862899083,0.1629034105087305,0.15588859957056356,0.1472707004710065
0.18248460062614427,0.16482415033594114,0.15720200802171344,0.1568278533033243,0.1603083780948064
0.1610552511658049,0.14705808770994866,0.13939915156956326,0.13948389450690923,0.11820016759816124
0.1861614625338184,0.16236186008790743,0.12199312684804582,0.15135779636434774,0.15556398840921098
0.19498922524229587,0.19037034260083976,0.1521431942099003,0.17843395725488523,0.1697152303454019
0.18000417457010984,0.177202445265558,0.15568545550955337,0.1725270334995601,0.16222830160786478
0.1907464367464904,0.17667159601989316,0.1483252199250739,0.17762836583993624,0.17570435937786036
0.20381405477039133,0.19070871301143516,0.14681997763943758,0.1740976382193178,0.16421981374925984
0.15745861958144972,0.13702616100332543,0.1285226944099193,0.12940428844150467,0.11184430282886215
0.19637925060069625,0.18220308850147698,0.14937534764019184,0.1680352459190256,0.15100778156083372
0.1557434033484954,0.16586592014858148,0.1361794893518347,0.16460127282077164,0.14053869023233903
0.16299275668064148,0.15634726260396936,0.1485099613935227,0.14555531023535054,0.14011182590836363
0.18520007385812828,0.17980393448500553,0.14658447008084513,0.17337329215571354,0.15124326074423197
0.1805745143489725,0.1654638862653532,0.12124323733707573,0.15789902936832162,0.142767375133332
0.22369136779005666,0.2131558582636358,0.1540352126147822,0.20107957670212073,0.1775540816107394
0.1910428872611886,0.18233854099360514,0.16114240668266558,0.17573359625527013,0.17605942608585645
0.14147226717009664,0.15590406470722992,0.1271150215039282,0.14886046426663427,0.1468548558609742
0.17344456979242745,0.1671538103989665,0.14529573078521252,0.15426931881066677,0.13318289690969964
0.22139373384148667,0.19915247401695388,0.19153847077172875,0.1921672458253471,0.18960836484004967
0.2192103772455107,0.2116305010664259,0.17647203506187356,0.20040608327213202,0.16545197422256835
0.16921692852325274,0.14827325713714268,0.12098239714027763,0.13817743181256534,0.1380261810003649
0.2046949028637515,0.19144328586479809,0.13651857894139616,0.1753785824578027,0.17763480287899494
0.1939702558366622,0.20028996840777047,0.1492229070609776,0.18995859763218728,0.16109570949615448
