treatment,row_count,conversion_rate,conversion_count,visit_rate,visit_count,exposure_rate,exposure_count
0,2096937,0.0019375880152813366,4063,0.03820095691954503,80105,0.0,0
1,11882655,0.0030894610674129645,36711,0.048543360048743316,576824,0.036036727482199896,428212
