stage,model_a,model_b,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,autoc_difference,autoc_ci_low,autoc_ci_high,autoc_probability_positive,n_boot
smoke,T-Under7,Response,-4.427955207726079e-05,-0.00026189479037515723,0.00015117672906055684,0.34,-0.0017380188683534291,-0.002971865653953122,-0.00017250765137997025,0.0,50
smoke,DR-Regression,Response,-1.5132121306116143e-05,-0.00041836459233634583,0.0003780458873196443,0.56,-0.0016772904212381257,-0.003687587656191345,0.0006492565360473468,0.1,50
smoke,DR-Binary,Response,-7.625090860820965e-05,-0.0004989558683445051,0.0003500592262335968,0.42,-0.001648954078422452,-0.0037165204048388877,0.0007541776774196607,0.08,50
smoke,DR-Binary-MC2,Response,-8.061686288823823e-05,-0.00048498333591203536,0.00034271569267067684,0.4,-0.0018639706417074835,-0.00390782325035856,0.0004704175839219492,0.08,50
smoke,R-Regression,Response,4.013530733849532e-05,-0.0003119932651619085,0.0004898199074482737,0.5,-0.001728010294781943,-0.003598160103692756,0.0009881489920851563,0.08,50
smoke,R-Binary,Response,-0.00010645103856619985,-0.0004988196716830389,0.00039165786928276123,0.3,-0.00185265433044274,-0.0036689461476578067,0.0006388314069649939,0.06,50
smoke,Rank-K1,Response,-0.0002536249375674858,-0.0005866318385369346,7.203431184723982e-06,0.04,-0.0022890831692371732,-0.0033950774996072933,-0.0008915473972284006,0.0,50
smoke,Rank-K05,Response,-0.0002630833312307295,-0.0005650588770421131,3.540194549046952e-05,0.04,-0.00291930126889977,-0.004707353148162284,-0.0012187539550945802,0.0,50
smoke,Rank-K2,Response,-0.0003229107601596085,-0.0006486811491342444,5.617269033444791e-06,0.04,-0.00257185679394129,-0.003827879049867559,-0.0012007490721080009,0.0,50
