run_id,model_a,model_b,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,autoc_difference,autoc_ci_low,autoc_ci_high,autoc_probability_positive,n_boot
sprint3-retrospective-confirmation-v1,X-Renormalized,Response,-2.2555166638600003e-05,-7.615611825479114e-05,2.4029811788681486e-05,0.22,-0.0005395955960969295,-0.000961786735637912,-0.0001079526724546566,0.006,500
sprint3-retrospective-confirmation-v1,S-Under7,Response,-1.6782623494212764e-05,-7.982139245124222e-05,4.62305248048225e-05,0.308,-0.0007069985624255991,-0.0012501686248034595,-0.00016435642406418687,0.0,500
sprint3-retrospective-confirmation-v1,Rank-K05,Response,-6.389665373088239e-05,-0.00010793884610516549,-1.698244606493566e-05,0.002,-0.0014342944532199546,-0.0018773999146666333,-0.0009813018659154706,0.0,500
sprint3-retrospective-confirmation-v1,Rank-K1,Response,-6.045789449536621e-05,-9.807536433833169e-05,-1.8420612992650227e-05,0.002,-0.00142250971530976,-0.0018563945896621725,-0.0009752253993503583,0.0,500
sprint3-retrospective-confirmation-v1,Rank-K2,Response,-5.041375842467768e-05,-8.370546849350594e-05,-1.9811412118179603e-05,0.0,-0.0013685658494951383,-0.001765477752759669,-0.0009198180742831367,0.0,500
sprint3-retrospective-confirmation-v1,Ensemble-BestSingle,Response,-2.2555166638600003e-05,-7.615611825479114e-05,2.4029811788681486e-05,0.22,-0.0005395955960969295,-0.000961786735637912,-0.0001079526724546566,0.006,500
sprint3-retrospective-confirmation-v1,Ensemble-QAgg,Response,-1.125644460076708e-06,-5.62506174810712e-05,5.2466371729498646e-05,0.496,-0.0005519552620649173,-0.0010242118257616328,-6.717630924971207e-05,0.006,500
sprint3-retrospective-confirmation-v1,Ensemble-RankAverage,Response,-4.651756273791035e-06,-5.7518660730124924e-05,4.6016578843823284e-05,0.418,-0.0004907421250298174,-0.0009010265835316496,-4.60669601477231e-05,0.01,500
sprint3-retrospective-confirmation-v1,Response,X-Renormalized,2.2555166638600003e-05,-2.4029811788681496e-05,7.615611825479113e-05,0.78,0.0005395955960969295,0.00010795267245465641,0.000961786735637912,0.994,500
sprint3-retrospective-confirmation-v1,S-Under7,X-Renormalized,5.772543144387239e-06,-4.621080659424186e-05,5.3170725200805997e-05,0.594,-0.00016740296632866952,-0.0004006879820922542,6.498322728538012e-05,0.098,500
sprint3-retrospective-confirmation-v1,Rank-K05,X-Renormalized,-4.1341487092282385e-05,-9.774184899635367e-05,1.086631032109952e-05,0.058,-0.0008946988571230251,-0.001225524246557626,-0.0005864934651511706,0.0,500
sprint3-retrospective-confirmation-v1,Rank-K1,X-Renormalized,-3.790272785676621e-05,-9.312091791615102e-05,1.4538647412137718e-05,0.088,-0.0008829141192128304,-0.001212498792894558,-0.0005760072627784251,0.0,500
sprint3-retrospective-confirmation-v1,Rank-K2,X-Renormalized,-2.7858591786077678e-05,-7.872725819660434e-05,2.1895802594819556e-05,0.14,-0.0008289702533982087,-0.0011397157139251737,-0.000529514326973926,0.0,500
sprint3-retrospective-confirmation-v1,Ensemble-BestSingle,X-Renormalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
sprint3-retrospective-confirmation-v1,Ensemble-QAgg,X-Renormalized,2.1429522178523295e-05,-5.873731249879648e-06,4.8549913369595017e-05,0.922,-1.2359665967987769e-05,-0.00014421243562834048,0.000123161169716898,0.422,500
sprint3-retrospective-confirmation-v1,Ensemble-RankAverage,X-Renormalized,1.790341036480897e-05,-1.334982445116516e-05,4.722000111022265e-05,0.868,4.8853471067112145e-05,-0.0001193407897563804,0.0002244230449750744,0.698,500
