run_id,model,budget_fraction,gross_value_per_customer,ci_low,ci_high,break_even_contact_cost,sensitivity_low,sensitivity_high
sprint3-retrospective-confirmation-v1,Rank-K2,0.02,0.0003451052171371,0.000266310015175,0.0004181387412412,0.0172552608568596,,
sprint3-retrospective-confirmation-v1,Rank-K2,0.05,0.0007253682169679,0.0005690552929232,0.0008704084359878,0.0145073643393589,,
sprint3-retrospective-confirmation-v1,Rank-K2,0.1,0.0009181073128006,0.0007458886362537,0.001081756997946,0.0091810731280069,,
sprint3-retrospective-confirmation-v1,Rank-K2,0.15,0.0009523562126556,0.0007688977414187,0.0011360266098872,0.0063490414177041,,
sprint3-retrospective-confirmation-v1,Rank-K2,0.2,0.0009580274572698,0.000775638940022,0.0011306742601641,0.0047901372863494,,
sprint3-retrospective-confirmation-v1,Rank-K2,0.25,0.0009561064206393,0.0007721439811844,0.0011416877794541,0.0038244256825572,,
sprint3-retrospective-confirmation-v1,Rank-K2,0.3,0.000958075854538,0.0007704152587443,0.0011374680782373,0.0031935861817935,,
sprint3-retrospective-confirmation-v1,Ensemble-BestSingle,0.01,0.0004054471352236,0.0002907112889162,0.0005074041943013,0.0405447135223667,,
sprint3-retrospective-confirmation-v1,Ensemble-BestSingle,0.02,0.0005445195822345,0.0003991630953732,0.0006756660330188,0.0272259791117266,,
sprint3-retrospective-confirmation-v1,Ensemble-BestSingle,0.05,0.0007928668707401,0.000622959703749,0.0009665350084029,0.0158573374148036,,
sprint3-retrospective-confirmation-v1,Ensemble-BestSingle,0.1,0.000861256598898,0.0006795246009261,0.0010351366507378,0.0086125659889802,,
sprint3-retrospective-confirmation-v1,Ensemble-BestSingle,0.15,0.0009357669618348,0.0007588416032436,0.001105032840818,0.0062384464122324,,
sprint3-retrospective-confirmation-v1,Ensemble-BestSingle,0.2,0.0009739339539156,0.000797356778614,0.0011474290929964,0.0048696697695784,,
sprint3-retrospective-confirmation-v1,Ensemble-BestSingle,0.25,0.0009939633849187,0.0008189254023566,0.0011665375460073,0.0039758535396751,,
sprint3-retrospective-confirmation-v1,Ensemble-BestSingle,0.3,0.0010064802834084,0.0008297958599138,0.0011763581494555,0.0033549342780281,,
sprint3-retrospective-confirmation-v1,Ensemble-QAgg,0.01,0.0003485489537363,0.0002562450305148,0.0004355573359834,0.0348548953736333,,
sprint3-retrospective-confirmation-v1,Ensemble-QAgg,0.02,0.0004633255985892,0.0003240652433369,0.0005876460453704,0.0231662799294616,,
sprint3-retrospective-confirmation-v1,Ensemble-QAgg,0.05,0.0007987164794142,0.0006269969551449,0.0009633880973219,0.0159743295882853,,
sprint3-retrospective-confirmation-v1,Ensemble-QAgg,0.1,0.0009200368194762,0.0007437760333701,0.0010945371167899,0.0092003681947627,,
sprint3-retrospective-confirmation-v1,Ensemble-QAgg,0.15,0.0009609025236417,0.0007842882383409,0.0011332082183609,0.0064060168242784,,
sprint3-retrospective-confirmation-v1,Ensemble-QAgg,0.2,0.001017220775624,0.0008455904664208,0.0011916728398581,0.0050861038781204,,
sprint3-retrospective-confirmation-v1,Ensemble-QAgg,0.25,0.0010297029869785,0.0008538710675039,0.001199839671216,0.0041188119479142,,
sprint3-retrospective-confirmation-v1,Ensemble-QAgg,0.3,0.0009961537777078,0.0008207065108745,0.0011726629485954,0.0033205125923594,,
sprint3-retrospective-confirmation-v1,Ensemble-RankAverage,0.01,0.0003473039779642,0.0002225007534289,0.000439381450887,0.0347303977964207,,
sprint3-retrospective-confirmation-v1,Ensemble-RankAverage,0.02,0.0005457873413286,0.0004061594576872,0.0006701899374644,0.0272893670664312,,
sprint3-retrospective-confirmation-v1,Ensemble-RankAverage,0.05,0.0007913338245753,0.0006355077943001,0.0009431267246779,0.0158266764915075,,
sprint3-retrospective-confirmation-v1,Ensemble-RankAverage,0.1,0.0009060354004664,0.0007278064734003,0.0010731264967311,0.0090603540046641,,
sprint3-retrospective-confirmation-v1,Ensemble-RankAverage,0.15,0.0009496171516509,0.000771453872836,0.0011179536324618,0.0063307810110061,,
sprint3-retrospective-confirmation-v1,Ensemble-RankAverage,0.2,0.001000710049758,0.000825562863128,0.0011788315342897,0.0050035502487901,,
sprint3-retrospective-confirmation-v1,Ensemble-RankAverage,0.25,0.001009636003298,0.0008321577687285,0.0011813445091272,0.004038544013192,,
sprint3-retrospective-confirmation-v1,Ensemble-RankAverage,0.3,0.0010250717304684,0.0008489232921811,0.0011967034533287,0.0034169057682282,,
sprint3-retrospective-confirmation-v1,Expected random (stochastic policy),0.01,9.976078623771856e-06,,,,-1.2549773313498868e-05,2.965086018797714e-05
sprint3-retrospective-confirmation-v1,Expected random (stochastic policy),0.02,1.995215724754372e-05,,,,-6.053130829236335e-06,4.142551824369224e-05
sprint3-retrospective-confirmation-v1,Expected random (stochastic policy),0.05,4.988039311885929e-05,,,,-1.2381150629083766e-06,8.307697388915633e-05
sprint3-retrospective-confirmation-v1,Expected random (stochastic policy),0.1,9.976078623771856e-05,,,,5.787271088957123e-05,0.0001454933456599
sprint3-retrospective-confirmation-v1,Expected random (stochastic policy),0.15,0.0001496411793565,,,,7.233726401303139e-05,0.0002003345005777
sprint3-retrospective-confirmation-v1,Expected random (stochastic policy),0.2,0.0001995215724754,,,,0.0001337817663557,0.0002538901872659
sprint3-retrospective-confirmation-v1,Expected random (stochastic policy),0.25,0.0002494019655942,,,,0.0001477680967429,0.000318849580526
sprint3-retrospective-confirmation-v1,Expected random (stochastic policy),0.3,0.0002992823587131,,,,0.0001941329272151,0.0003637779081845
