stage,model_a,model_b,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,autoc_difference,autoc_ci_low,autoc_ci_high,autoc_probability_positive,n_boot
screen,X-Renormalized,Response,-7.314374675946363e-05,-0.00011373905452474944,-2.9542656175138408e-05,0.0,-0.0005275847238332262,-0.0008973581592047631,-0.0001708449966910543,0.0033333333333333335,300
screen,S-Under7,Response,-9.481015284918781e-05,-0.0001685292763794699,-2.176481870100655e-05,0.013333333333333334,-0.0005390000864357266,-0.0010747828545407568,5.171878333234511e-05,0.04666666666666667,300
screen,T-Under7,Response,-0.0002467051306145986,-0.0003238076186405023,-0.00016119683744433342,0.0,-0.0011121947098582424,-0.0015139102971011588,-0.0006400679683088453,0.0,300
screen,DR-Regression,Response,-0.00019589676437919935,-0.0002901444406725175,-9.639064841437874e-05,0.0,-0.0008666085128524381,-0.0015172288717250667,-0.00016500409840177269,0.006666666666666667,300
screen,DR-Binary,Response,-0.00021162904631116634,-0.0003116520726034199,-0.00011238788020727646,0.0,-0.0009955284851393945,-0.00166707048374209,-0.000320851825553968,0.0,300
screen,DR-Binary-MC2,Response,-0.00019645851095530307,-0.0003068369049748643,-8.276688591615309e-05,0.0,-0.0009634612868823513,-0.0016639833396746991,-0.00030632971789468927,0.0,300
screen,R-Regression,Response,-0.0002434953344730719,-0.0003516303587916855,-0.00014498866110237383,0.0,-0.0009658827657487157,-0.0016431703844496683,-0.00032524443901059527,0.0033333333333333335,300
screen,R-Binary,Response,-0.00021381892703698229,-0.0003171767875805064,-0.00011376109041944419,0.0,-0.0009651873281300133,-0.0016032624795203592,-0.000296292533819423,0.0,300
screen,Rank-K1,Response,-7.198689182061151e-05,-0.0001170787508495246,-1.918137773363721e-05,0.006666666666666667,-0.000501408064674743,-0.0009567841258737836,-1.3701692656754778e-05,0.023333333333333334,300
screen,Rank-K05,Response,-6.776882571061507e-05,-0.00011417997104798325,-1.5589416044091152e-05,0.01,-0.0006195225952696369,-0.0010619637005170942,-5.6554265441479006e-05,0.02,300
screen,Rank-K2,Response,-7.851615322958868e-05,-0.00011585656169030697,-3.185106040314622e-05,0.0,-0.0006993124501332736,-0.0011348390866431919,-0.00020022066064301908,0.0033333333333333335,300
screen,Response,X-Renormalized,7.314374675946363e-05,2.9542656175138354e-05,0.00011373905452474944,1.0,0.0005275847238332262,0.000170844996691054,0.0008973581592047631,0.9966666666666667,300
screen,S-Under7,X-Renormalized,-2.1666406089724177e-05,-0.00010260159348839439,5.267257131206551e-05,0.27666666666666667,-1.1415362602500406e-05,-0.0004434533976704439,0.00039200225427206057,0.49,300
screen,T-Under7,X-Renormalized,-0.000173561383855135,-0.00025863094153930587,-8.796959641900897e-05,0.0,-0.0005846099860250162,-0.0010162697201672437,-0.00015571105204645856,0.0,300
screen,DR-Regression,X-Renormalized,-0.00012275301761973572,-0.00021539305202167598,-1.8637491058701922e-05,0.013333333333333334,-0.0003390237890192119,-0.0009144269641246026,0.0002258904114269877,0.12,300
screen,DR-Binary,X-Renormalized,-0.0001384852995517027,-0.00024524357789466845,-4.32542723167488e-05,0.0033333333333333335,-0.00046794376130616824,-0.0010571005620522696,6.416435412789615e-05,0.043333333333333335,300
screen,DR-Binary-MC2,X-Renormalized,-0.00012331476419583944,-0.00022441135185575736,-2.3822144146176572e-05,0.01,-0.0004358765630491251,-0.0010165161922226374,5.886615793317469e-05,0.06666666666666667,300
screen,R-Regression,X-Renormalized,-0.00017035158771360826,-0.0002719032936384482,-6.831326934237506e-05,0.0,-0.00043829804191548947,-0.0009879134371915395,0.00010986647370716809,0.06,300
screen,R-Binary,X-Renormalized,-0.00014067518027751865,-0.00023705272928627137,-4.60378667532733e-05,0.0033333333333333335,-0.00043760260429678713,-0.0010458135205122904,9.19440855284234e-05,0.043333333333333335,300
screen,Rank-K1,X-Renormalized,1.1568549388521216e-06,-5.0683479816578135e-05,5.0341832595084956e-05,0.53,2.6176659158483155e-05,-0.0003388366675189838,0.0004163551701582838,0.57,300
screen,Rank-K05,X-Renormalized,5.374921048848565e-06,-4.685397450080578e-05,5.793340742797587e-05,0.5966666666666667,-9.193787143641071e-05,-0.0005183421192576515,0.0004042313257366423,0.36666666666666664,300
screen,Rank-K2,X-Renormalized,-5.372406470125044e-06,-5.4114588024938363e-05,3.8575597099682736e-05,0.44,-0.00017172772630004744,-0.0005343732564147757,0.0002084077894843943,0.19666666666666666,300
