stage,bin_left,bin_right,bin_mid,density
0p2,-0.001271154772004724,-0.0006721542655377423,-0.0009716545187712332,29.05259566542969
0p2,-0.0006721542655377423,-7.315375907076052e-05,-0.0003726540123042514,135.48428997916906
0p2,-7.315375907076052e-05,0.0005258467473962213,0.00022634649416273037,1162.6325673728452
0p2,0.0005258467473962213,0.001124847253863203,0.0008253470006297121,135.84013451814775
0p2,0.001124847253863203,0.0017238477603301848,0.001424347507096694,60.57800931359266
0p2,0.0017238477603301848,0.0023228482667971666,0.0020233480135636757,31.851101870279052
0p2,0.0023228482667971666,0.0029218487732641484,0.0026223485200306575,19.13719868100652
0p2,0.0029218487732641484,0.00352084927973113,0.0032213490264976392,13.570342588170398
0p2,0.00352084927973113,0.004119849786198112,0.003820349532964621,10.160668361572323
0p2,0.004119849786198112,0.004718850292665094,0.004419350039431603,8.431706194783207
0p2,0.004718850292665094,0.0053178507991320755,0.0050183505458985846,7.169161728802316
0p2,0.0053178507991320755,0.005916851305599057,0.005617351052365566,5.691502202534873
0p2,0.005916851305599057,0.006515851812066039,0.006216351558832548,4.9355838598456785
0p2,0.006515851812066039,0.007114852318533021,0.00681535206529953,4.141467515797188
0p2,0.007114852318533021,0.0077138528250000025,0.007414352571766512,3.5946329700220256
0p2,0.0077138528250000025,0.008312853331466984,0.008013353078233493,3.035735897501822
0p2,0.008312853331466984,0.008911853837933966,0.008612353584700475,2.8085583104702287
0p2,0.008911853837933966,0.009510854344400948,0.009211354091167457,2.712058096509906
0p2,0.009510854344400948,0.01010985485086793,0.009810354597634439,2.2999217660543607
0p2,0.01010985485086793,0.010708855357334911,0.01040935510410142,2.229557026708292
0p2,0.010708855357334911,0.011307855863801893,0.011008355610568402,2.0305253354151263
0p2,0.011307855863801893,0.011906856370268875,0.011607356117035384,1.81943111737692
0p2,0.011906856370268875,0.012505856876735857,0.012206356623502366,1.5118366853783909
0p2,0.012505856876735857,0.013104857383202839,0.012805357129969348,1.614368162711234
0p2,0.013104857383202839,0.01370385788966982,0.01340435763643633,1.4776595262674432
0p2,0.01370385788966982,0.014302858396136802,0.014003358142903311,1.2323881491182895
0p2,0.014302858396136802,0.014901858902603784,0.014602358649370293,1.1399087774063135
0p2,0.014901858902603784,0.015500859409070766,0.015201359155837275,0.9810855085966154
0p2,0.015500859409070766,0.016099859915537747,0.015800359662304257,0.9207728748714137
0p2,0.016099859915537747,0.01669886042200473,0.01639936016877124,0.9408770861131476
0p2,0.01669886042200473,0.01729786092847171,0.01699836067523822,0.763960027185889
0p2,0.01729786092847171,0.017896861434938693,0.017597361181705202,0.7599391849375422
0p2,0.017896861434938693,0.018495861941405674,0.018196361688172184,0.7197307624540744
0p2,0.018495861941405674,0.019094862447872656,0.018795362194639165,0.5709595992652434
0p2,0.019094862447872656,0.019693862954339638,0.019394362701106147,0.5689491781410699
0p2,0.019693862954339638,0.02029286346080662,0.01999336320757313,0.4885323331741343
0p2,0.02029286346080662,0.0208918639672736,0.02059236371404011,0.43023012057310595
0p2,0.0208918639672736,0.021490864473740583,0.021191364220507092,0.44832391069066646
0p2,0.021490864473740583,0.022089864980207565,0.021790364726974074,0.4362613839456261
0p2,0.022089864980207565,0.022688865486674547,0.022389365233441056,0.3920321192138115
0p2,0.022688865486674547,0.02328786599314153,0.022988365739908038,0.33775074886112993
0p2,0.02328786599314153,0.02388686649960851,0.02358736624637502,0.29553190525348866
0p2,0.02388686649960851,0.024485867006075492,0.024186366752842,0.3216673798677428
0p2,0.024485867006075492,0.025084867512542474,0.024785367259308983,0.26135474614254095
0p2,0.025084867512542474,0.025683868019009456,0.025384367765775965,0.26135474614254095
0p2,0.025683868019009456,0.026282868525476438,0.025983368272242947,0.19501084904481905
0p2,0.026282868525476438,0.02688186903194342,0.02658236877870993,0.19300042792064567
0p2,0.02688186903194342,0.0274808695384104,0.02718136928517691,0.24728179827332722
0p2,0.0274808695384104,0.028079870044877383,0.027780369791643892,0.24527137714915384
0p2,0.028079870044877383,0.028678870551344365,0.028379370298110874,0.21913590253489973
0p2,0.028678870551344365,0.029277871057811346,0.028978370804577856,0.21913590253489973
0p2,0.029277871057811346,0.029876871564278328,0.029577371311044837,0.21511506028655297
0p2,0.029876871564278328,0.03047587207074531,0.03017637181751182,0.18495874342395208
0p2,0.03047587207074531,0.031074872577212292,0.0307753723239788,0.25331306164584744
0p2,0.031074872577212292,0.03167387308367928,0.031374372830445786,0.2050629546656848
0p2,0.03167387308367928,0.03227287359014626,0.03197337333691277,0.2352192715282869
0p2,0.03227287359014626,0.03287187409661324,0.03257237384337975,0.2332088504041135
0p2,0.03287187409661324,0.03347087460308022,0.03317137434984673,0.21913590253489973
0p2,0.03347087460308022,0.034069875109547204,0.03377037485631371,0.2553234827700208
