run_id,created_utc,status,commit_sha,working_tree_dirty,working_tree_diff_sha256,data_sha256,development_index_sha256,eval_index_sha256,n_rows,n_treated,n_control,n_conversion_treated,n_conversion_control,python_version,numpy_version,pandas_version,sklearn_version,lightgbm_version,econml_version,outcome,candidate,candidate_family,config_hash,config_json,fold_seed,n_folds,pool_fraction,fit_seconds,predict_seconds,peak_process_rss_gb,min_system_available_ram_gb,max_system_memory_percent,policy_area_dr,policy_area_dr_adjusted,autoc_dr,autoc_dr_adjusted,rate_qini_dr,qini_score,auuc_score,uplift_calibration_error,doubly_robust_risk,score_mean,score_std,negative_score_fraction,unique_score_count,failure_reason
causal-foundation-v1-smoke-Response,2026-08-09T10:42:17.417718+00:00,smoke,336d7770de8534b785eec89c980536d9ba06996a,True,0a2b46ee299c5b34afee1e156c17179828e735b554aec99691bfa9e140fb5281,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,6d9c85a6e388b9566c090904d7778fcc1bc3cc034a0a0a446c2db96e96f02c2c,6d9c85a6e388b9566c090904d7778fcc1bc3cc034a0a0a446c2db96e96f02c2c,111837,95062,16775,294,32,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Response,response,2493f3f82d2d833e,"{""builder"": ""response"", ""family"": ""response"", ""is_cate_scale"": false, ""name"": ""Response"", ""params"": {}}",101,3,0.02,2.5657209000055445,0.6324979999917559,0.2908935546875,3.805065155029297,75.0,0.000892254883788878,0.0010188199489710127,0.0025852180014041804,0.0033963423406330887,0.00045793058572598296,0.18602208836654405,0.006008674485842539,,,0.0027488790015873076,0.022698205713997263,0.0,42273.0,
causal-foundation-v1-smoke-Response-Sentinel,2026-08-09T10:42:20.813797+00:00,smoke,336d7770de8534b785eec89c980536d9ba06996a,True,0a2b46ee299c5b34afee1e156c17179828e735b554aec99691bfa9e140fb5281,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,6d9c85a6e388b9566c090904d7778fcc1bc3cc034a0a0a446c2db96e96f02c2c,6d9c85a6e388b9566c090904d7778fcc1bc3cc034a0a0a446c2db96e96f02c2c,111837,95062,16775,294,32,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Response-Sentinel,response,0ccda20f93617af8,"{""builder"": ""response"", ""family"": ""response"", ""is_cate_scale"": false, ""name"": ""Response-Sentinel"", ""params"": {""feature_augmentation"": ""sentinel_flags"", ""sentinel_min_mode_share"": 0.05}}",101,3,0.02,2.968761900003301,0.6483894000266446,0.3099555969238281,3.797046661376953,75.0,0.0008953127922771243,0.001023806620546898,0.0026973444671230746,0.003516693677026821,0.00045839102600855257,0.18636228512266093,0.006020765172808102,,,0.0027447680751454366,0.02256425634702899,0.0,42084.0,
causal-foundation-v1-smoke-Anchored-R25,2026-08-09T10:42:24.648358+00:00,smoke,336d7770de8534b785eec89c980536d9ba06996a,True,0a2b46ee299c5b34afee1e156c17179828e735b554aec99691bfa9e140fb5281,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,6d9c85a6e388b9566c090904d7778fcc1bc3cc034a0a0a446c2db96e96f02c2c,6d9c85a6e388b9566c090904d7778fcc1bc3cc034a0a0a446c2db96e96f02c2c,111837,95062,16775,294,32,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Anchored-R25,anchored_r_learner,de9aa41664ebd502,"{""builder"": ""anchored_r_learner"", ""family"": ""anchored_r_learner"", ""is_cate_scale"": true, ""name"": ""Anchored-R25"", ""params"": {""final_params"": {""learning_rate"": 0.04, ""min_child_samples"": 5000, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 20.0}, ""inner_cv"": 2, ""nuisance_params"": {""min_child_samples"": 250, ""n_estimators"": 200, ""num_leaves"": 31}, ""residual_shrinkage"": 0.25}}",101,3,0.02,4.546082000000752,0.35185419998015277,0.3099555969238281,3.7923202514648438,75.0,0.0008124913772124978,0.000949764143468199,0.0023299904880541913,0.0032105654426962315,0.00034910792910522123,0.13480189749973376,0.004326580356133766,0.00037054256023013194,0.014923933119486279,0.0008097067479886509,0.005360412811873625,0.21154895070504395,39393.0,
causal-foundation-v1-smoke-Anchored-R25-Sentinel,2026-08-09T10:42:29.773244+00:00,failed,336d7770de8534b785eec89c980536d9ba06996a,True,0a2b46ee299c5b34afee1e156c17179828e735b554aec99691bfa9e140fb5281,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,6d9c85a6e388b9566c090904d7778fcc1bc3cc034a0a0a446c2db96e96f02c2c,6d9c85a6e388b9566c090904d7778fcc1bc3cc034a0a0a446c2db96e96f02c2c,111837,95062,16775,294,32,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Anchored-R25-Sentinel,anchored_r_learner,0b73751df7c0c285,"{""builder"": ""anchored_r_learner"", ""family"": ""anchored_r_learner"", ""is_cate_scale"": true, ""name"": ""Anchored-R25-Sentinel"", ""params"": {""feature_augmentation"": ""sentinel_flags"", ""final_params"": {""learning_rate"": 0.04, ""min_child_samples"": 5000, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 20.0}, ""inner_cv"": 2, ""nuisance_params"": {""min_child_samples"": 250, ""n_estimators"": 200, ""num_leaves"": 31}, ""residual_shrinkage"": 0.25, ""sentinel_min_mode_share"": 0.05}}",101,3,0.02,,,0.3099555969238281,3.7889137268066406,75.1,,,,,,,,,,,,,,"ResourceGateBreached: RAM khả dụng đã tụt xuống 3.79 GB và hệ thống đang dùng 75.1% RAM (ngưỡng min_available_gb=2.0, max_system_memory_percent=75.0) lúc 2026-08-09T10:42:32.461268+00:00. Dừng tại Anchored-R25-Sentinel fold 3 để giữ registry và artifact nhất quán. Giảm --pool-frac hoặc đóng ứng dụng khác rồi chạy lại."
