model,policy_area_dr_mean,policy_area_dr_min,autoc_dr_mean,qini_mean,n_seeds
Response,0.0008611098705628866,0.0008518093797639006,0.003296544419556704,0.1850534217329305,2
Response-Sentinel,0.0008606788558099552,0.0008530223503547911,0.0032952903525292417,0.18472121265195351,2
