budget_fraction,random_value_mean,random_value_min,random_value_max,expected_random_value
0.01,8.14565840182371e-06,-4.625104617751802e-07,1.5875300199861337e-05,9.78835350399973e-06
0.02,1.9054579574904214e-05,6.833690312756748e-06,2.8248896441257025e-05,1.957670700799946e-05
0.05,4.9891560886699594e-05,2.848732894996977e-05,8.759471905482256e-05,4.894176751999866e-05
0.1,9.967113490068046e-05,7.261272709139141e-05,0.00014577818240930925,9.788353503999732e-05
0.15,0.00014980952749305525,0.00010749645219213065,0.00020511516565284934,0.00014682530255999597
0.2,0.00019465070822187694,0.00014327320269020462,0.0002348888786995833,0.00019576707007999463
0.25,0.00024234242410277858,0.00020184700759436059,0.0002700933593534527,0.00024470883759999327
0.3,0.00029010583096001225,0.00023672906031755873,0.00032711738208454963,0.00029365060511999194
