model,candidate,n_fit,undersample_factor,fit_seconds,qini_score,auuc_score,transformed_outcome_mse,uplift_calibration_error,cate_mean,cate_std,qini_ci_low,qini_ci_high,baseline_qini,qini_delta_vs_baseline,qini_delta_ci_low,qini_delta_ci_high,bootstrap_probability_delta_positive,sample_frac,n_test,n_boot
Response,baseline,4892857,1.0,11.672,0.18788585912141081,0.0060840140369370025,,,0.0028588168707672653,0.026244072487699863,0.15345297962240328,0.226226526496082,0.18788585912141081,0.0,0.0,0.0,0.0,0.5,2096940,500
S-Learner,baseline,4892857,1.0,13.88,0.1772037237368521,0.005740211726659909,0.016531360094328304,0.00017368190455950536,0.0008630887911422806,0.005098194680557646,0.1418470868009362,0.218151080957758,0.1772037237368521,0.0,0.0,0.0,0.0,0.5,2096940,500
X-Learner,under7_probability_fixed,698980,7.0,29.514,0.1671680288411912,0.005404883402691443,0.016545264753857425,0.00038123855464453326,0.0006159737745441762,0.0023083735042779214,0.13182777490597894,0.20576596365898267,0.14137713590077938,0.025790892940411814,5.8005722234804404e-05,0.05391614007765724,0.974,0.5,2096940,500
DR-Learner,baseline,4892857,1.0,63.489,0.1539669246378558,0.004973543382490081,0.01664495825200596,0.0005304026524133711,0.0009710899772719605,0.01194939141949761,0.11790128524258982,0.1904307800020517,0.1539669246378558,0.0,0.0,0.0,0.0,0.5,2096940,500
T-Learner,baseline,4892857,1.0,13.092,0.1420206254711735,0.004591020359793708,0.016581822696620844,0.0007734408767777613,0.0009939135693463482,0.010351214421326327,0.10679344427348472,0.1754765579079263,0.1420206254711735,0.0,0.0,0.0,0.0,0.5,2096940,500
