run_id,created_utc,status,commit_sha,working_tree_dirty,working_tree_diff_sha256,data_sha256,development_index_sha256,eval_index_sha256,n_rows,n_treated,n_control,n_conversion_treated,n_conversion_control,python_version,numpy_version,pandas_version,sklearn_version,lightgbm_version,econml_version,outcome,candidate,candidate_family,config_hash,config_json,fold_seed,n_folds,pool_fraction,fit_seconds,predict_seconds,peak_process_rss_gb,min_system_available_ram_gb,max_system_memory_percent,policy_area_dr,policy_area_dr_adjusted,autoc_dr,autoc_dr_adjusted,rate_qini_dr,qini_score,auuc_score,uplift_calibration_error,doubly_robust_risk,score_mean,score_std,negative_score_fraction,unique_score_count
causal-foundation-v1-screen-Response,2026-08-09T10:51:05.007807+00:00,screen,336d7770de8534b785eec89c980536d9ba06996a,True,ccebed4bd70a8534a5766d2191546a328b232fd143abae99cc1f197dbf20d1c8,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,838776,712960,125816,2203,244,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Response,response,2493f3f82d2d833e,"{""builder"": ""response"", ""family"": ""response"", ""is_cate_scale"": false, ""name"": ""Response"", ""params"": {}}",202,3,0.15,12.1563063999929,4.3887885000003735,0.435150146484375,3.8209686279296875,74.8,0.0008521660253390514,0.0007468078972022136,0.0030792190827494646,0.002746684172116082,0.0004397814420787251,0.1842742834481864,0.005960924407062742,,,0.002884047616414557,0.021512196594547527,0.0,257336
causal-foundation-v1-screen-Response-Sentinel,2026-08-09T10:51:23.249433+00:00,screen,336d7770de8534b785eec89c980536d9ba06996a,True,ccebed4bd70a8534a5766d2191546a328b232fd143abae99cc1f197dbf20d1c8,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,838776,712960,125816,2203,244,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Response-Sentinel,response,0ccda20f93617af8,"{""builder"": ""response"", ""family"": ""response"", ""is_cate_scale"": false, ""name"": ""Response-Sentinel"", ""params"": {""feature_augmentation"": ""sentinel_flags"", ""sentinel_min_mode_share"": 0.05}}",202,3,0.15,15.487476999973296,4.895890399988275,0.5199165344238281,3.5562744140625,76.6,0.0008552008820105097,0.0007508216852349721,0.003087762825561409,0.0027469544743214578,0.000440715373437314,0.18494866215932926,0.005982727846511696,,,0.0028866103348037086,0.02157943934047462,0.0,253641
causal-foundation-v1-screen-Anchored-R25,2026-08-09T10:51:45.459094+00:00,screen,336d7770de8534b785eec89c980536d9ba06996a,True,ccebed4bd70a8534a5766d2191546a328b232fd143abae99cc1f197dbf20d1c8,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,838776,712960,125816,2203,244,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Anchored-R25,anchored_r_learner,de9aa41664ebd502,"{""builder"": ""anchored_r_learner"", ""family"": ""anchored_r_learner"", ""is_cate_scale"": true, ""name"": ""Anchored-R25"", ""params"": {""final_params"": {""learning_rate"": 0.04, ""min_child_samples"": 5000, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 20.0}, ""inner_cv"": 2, ""nuisance_params"": {""min_child_samples"": 250, ""n_estimators"": 200, ""num_leaves"": 31}, ""residual_shrinkage"": 0.25}}",202,3,0.15,24.08889110000746,2.874422600012622,0.5199165344238281,3.5562744140625,76.6,0.0008440645709096409,0.0007295436418191295,0.0030397265780111858,0.0026664568384423193,0.0004158913012093826,0.1705056976450823,0.005517589023972483,0.00037573659957467994,0.01452777851317937,0.0006073219994780737,0.004105910756330294,0.12543158125649756,236847
causal-foundation-v1-screen-Anchored-R25-Sentinel,2026-08-09T10:52:14.363323+00:00,screen,336d7770de8534b785eec89c980536d9ba06996a,True,ccebed4bd70a8534a5766d2191546a328b232fd143abae99cc1f197dbf20d1c8,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,838776,712960,125816,2203,244,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Anchored-R25-Sentinel,anchored_r_learner,0b73751df7c0c285,"{""builder"": ""anchored_r_learner"", ""family"": ""anchored_r_learner"", ""is_cate_scale"": true, ""name"": ""Anchored-R25-Sentinel"", ""params"": {""feature_augmentation"": ""sentinel_flags"", ""final_params"": {""learning_rate"": 0.04, ""min_child_samples"": 5000, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 20.0}, ""inner_cv"": 2, ""nuisance_params"": {""min_child_samples"": 250, ""n_estimators"": 200, ""num_leaves"": 31}, ""residual_shrinkage"": 0.25, ""sentinel_min_mode_share"": 0.05}}",202,3,0.15,22.40257649999694,2.965923299998394,0.5372238159179688,3.5562744140625,76.6,0.0008408357753008335,0.0007254245974250491,0.0030277787132528262,0.0026514431170822717,0.000403822535113281,0.16583703825801716,0.005366258042141889,0.00038854002620926907,0.014528033773021242,0.0006064577285194703,0.004126386652812436,0.11450613751466422,236588
causal-foundation-v1-screen-Anchored-Pattern-R,2026-08-09T10:52:41.673794+00:00,screen,336d7770de8534b785eec89c980536d9ba06996a,True,ccebed4bd70a8534a5766d2191546a328b232fd143abae99cc1f197dbf20d1c8,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,838776,712960,125816,2203,244,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,Anchored-Pattern-R,anchored_pattern_r_learner,36aac092fdf64835,"{""builder"": ""anchored_pattern_r_learner"", ""family"": ""anchored_pattern_r_learner"", ""is_cate_scale"": true, ""name"": ""Anchored-Pattern-R"", ""params"": {""inner_cv"": 2, ""nuisance_params"": {""min_child_samples"": 250, ""n_estimators"": 200, ""num_leaves"": 31}, ""pattern_prior_weight"": 1000.0, ""sentinel_min_mode_share"": 0.05}}",202,3,0.15,16.8849990000017,1.6610383999941405,0.5372238159179688,3.5562744140625,76.6,0.0008611525841407921,0.0007559088011475482,0.003153407096750116,0.0028139510142127884,0.00044013172057128305,0.18496048567481094,0.005983973188421905,0.00040100934442537225,0.014528298650316686,0.0006130423923239234,0.003962545158884839,0.22975860062758113,210442
causal-foundation-v1-screen-DINA-CATE-Sentinel,2026-08-09T10:53:02.065005+00:00,screen,336d7770de8534b785eec89c980536d9ba06996a,True,ccebed4bd70a8534a5766d2191546a328b232fd143abae99cc1f197dbf20d1c8,2716e1bf0fd157a93b5bf86924d9088419dfbac2022c6cd90030220634f616dc,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,2f9a75e0b5572f108993310af120552d129982dc2d4d2016ee2ed0f7a020806a,838776,712960,125816,2203,244,3.12.10,2.4.6,2.3.3,1.6.1,4.7.0,0.16.0,conversion,DINA-CATE-Sentinel,binary_dina_learner,88763cb8b9238a95,"{""builder"": ""binary_dina_learner"", ""family"": ""binary_dina_learner"", ""is_cate_scale"": true, ""name"": ""DINA-CATE-Sentinel"", ""params"": {""effect_clip"": 3.0, ""feature_augmentation"": ""sentinel_flags"", ""final_params"": {""learning_rate"": 0.04, ""min_child_samples"": 5000, ""n_estimators"": 250, ""num_leaves"": 15, ""reg_lambda"": 20.0}, ""inner_cv"": 2, ""nuisance_params"": {""min_child_samples"": 250, ""n_estimators"": 200, ""num_leaves"": 31}, ""probability_clip"": 1e-05, ""sentinel_min_mode_share"": 0.05}}",202,3,0.15,46.62643859999662,3.7073491999908583,0.6199722290039062,3.4016799926757812,77.6,0.000831831494428568,0.0007181847597339828,0.0031857401946469963,0.0027854052201642453,0.000416247348724478,0.17162499164690828,0.005552012212072686,0.0007195024585195634,0.014551721116167093,0.001128382616455249,0.009226484189902366,0.16369209419439756,221413
