model,n,policy_area_dr,autoc_dr,qini_score,auuc_score,score_mean,score_std,negative_score_fraction,unique_score_count
Causal Forest,2096940,0.0010056541837682184,0.0037198610209103838,0.17467757264115724,0.00564828651981693,0.0009798189490605484,0.004482499639079138,0.1964681869772144,912579
Response,2096940,0.0010051582664299587,0.0038131475949968567,0.18788585912141081,0.0060840140369370025,0.0028588168707672653,0.026244072487699863,0.0,152106
S-Learner,2096940,0.0009989000684067163,0.003728987774049933,0.1772037237368521,0.005740211726659909,0.0008630887911422806,0.005098194680557646,0.003798391942544851,74281
X-Learner,2096940,0.0009747324078197898,0.003583425564391146,0.1671680288411912,0.005404883402691443,0.0006159737745441762,0.0023083735042779214,0.24152193195799593,569542
DR-Learner,2096940,0.0009246471125423295,0.0029632534318555503,0.1539669246378558,0.004973543382490081,0.0009710899772719605,0.01194939141949761,0.006528083779221151,63105
T-Learner,2096940,0.000896822936625735,0.0033082146034381973,0.1420206254711735,0.004591020359793708,0.0009939135693463482,0.010351214421326327,0.5395609793317883,208753
