budget_fraction,random_value_mean,random_value_min,random_value_max,expected_random_value
0.01,8.556552086196442e-06,2.2026140081788064e-09,1.518855860567252e-05,9.9691791584035e-06
0.02,1.968583535340751e-05,7.89863318976622e-06,3.008080860346563e-05,1.9938358316807e-05
0.05,5.072515295855368e-05,2.9166672328070026e-05,8.967543974148953e-05,4.9845895792017496e-05
0.1,0.00010208177883199422,7.589884631047286e-05,0.0001474430743629545,9.969179158403499e-05
0.15,0.00015345494115947801,0.00011156377499281103,0.00020985467821977663,0.00014953768737605247
0.2,0.00019898430902525683,0.0001496209068908869,0.00024022539848519926,0.00019938358316806998
0.25,0.000247557593779671,0.0002040667548434656,0.0002773304486283859,0.0002492294789600875
0.3,0.00029644577549596714,0.0002418720195899325,0.0003318522273624914,0.00029907537475210494
