model,policy_area_dr_mean,policy_area_dr_min,autoc_dr_mean,qini_mean,n_seeds
Response,0.0008611098571580456,0.0008518093609437516,0.0032965443891154645,0.1850534217329305,2
Ensemble-BestSingle,0.0008346781841076668,0.0008255293276100951,0.003101708583103646,0.17635141227923723,2
X-Renormalized,0.0008346781841076668,0.0008255293276100951,0.003101708583103646,0.17635141227923723,2
Ensemble-QAgg,0.0008346271659630108,0.0008341432742464993,0.003015164430839733,0.17777673521037304,2
Ensemble-RankAverage,0.0008268548865216066,0.000826397771929195,0.002883164554512864,0.18142379703880762,2
S-Under7,0.0008141567663022561,0.0007988864013581063,0.002839374851544397,0.17188189151207736,2
Rank-K2,0.0007976060367679668,0.0007927412968353147,0.002264738033357022,0.1768827602022684,2
Rank-K1,0.0007866370983465485,0.0007708782526824424,0.002241458700479755,0.17746697810245204,2
Rank-K05,0.0007708791366310104,0.0007470952178301805,0.00216892830295644,0.17702162651122233,2
